TRUE	2121.74	50
TRUE	2128.99	60.1124
TRUE	2146.38	109.551
TRUE	2150.72	119.663
TRUE	2152.17	129.775
TRUE	2153.62	150
TRUE	2156.52	158.989
TRUE	2178.26	219.663
TRUE	2182.61	229.775
TRUE	2186.96	238.764
TRUE	2198.55	269.101
TRUE	2194.2	299.438
TRUE	2192.75	309.551
TRUE	2189.86	318.539
TRUE	2184.06	338.764
TRUE	2179.71	358.989
TRUE	2178.26	369.101
TRUE	2172.46	389.326
TRUE	2168.12	398.315
TRUE	2166.67	408.427
TRUE	2162.32	418.539
TRUE	2157.97	428.652
TRUE	2153.62	438.764
TRUE	2150.72	448.876
TRUE	2146.38	458.989
TRUE	2137.68	478.09
TRUE	2136.23	488.202
TRUE	2134.78	498.315
TRUE	2130.43	508.427
TRUE	2124.64	518.539
TRUE	2114.49	538.764
TRUE	2105.8	548.876
TRUE	2098.55	558.989
TRUE	2084.06	578.09
TRUE	2076.81	588.202
TRUE	2046.38	618.539
TRUE	2026.09	643.258
TRUE	1997.1	663.483
TRUE	1976.81	678.09
TRUE	1946.38	692.697
TRUE	1936.23	698.315
TRUE	1926.09	702.809
TRUE	1915.94	708.427
TRUE	1846.38	733.146
TRUE	1826.09	737.64
TRUE	1697.1	737.64
TRUE	1656.52	733.146
TRUE	1586.96	718.539
TRUE	1398.55	647.753
TRUE	1198.55	548.876
TRUE	998.551	448.876
TRUE	798.551	348.876
TRUE	600	248.876
TRUE	400	150
