400	100	131.75	176.252	248.0	352.7851	482.9092	189.2213
400	150	92.8359	124.1937	174.75	248.5855	340.2758	146.389
600	100	25.8076	34.6001	47.875	66.7673	89.2415	35.451
600	200	20.6865	27.5961	38.375	53.8244	72.2429	31.7414
800	100	9.501	12.6744	17.625	24.7207	33.18	16.9014
800	200	12.1489	16.1435	22.375	31.2046	41.7082	16.7363
800	300	7.749	10.3373	14.375	20.0476	26.7958	12.3889
1000	100	4.5315	6.0451	8.4062	11.7905	15.8252	9.6592
1000	200	5.5085	7.3485	10.2188	14.3327	19.2373	11.2917
1000	300	5.6938	7.5576	10.5625	14.7728	19.8547	10.4706
1000	400	4.0973	5.4875	7.6562	10.7081	14.3917	7.4071
1200	100	2.8048	3.7229	5.2031	7.2979	9.8617	5.5208
1200	200	2.7037	3.6068	5.0156	7.0349	9.4422	5.465
1200	300	4.3462	5.7979	8.0625	11.2441	15.0289	8.3585
1200	400	3.5881	4.7626	6.6562	9.2829	12.4076	6.2714
1200	500	2.9985	4.0001	5.5625	7.7576	10.3688	5.1142
1400	100	1.8229	2.4414	3.4062	4.7776	6.456	3.3583
1400	200	1.752	2.3371	3.25	4.5455	6.1091	3.2491
1400	300	2.7573	3.6638	5.0781	7.082	9.4659	4.986
1400	400	2.729	3.6405	5.0625	7.0804	9.4837	4.5349
1400	500	2.2657	3.0225	4.2031	5.8953	7.9126	3.5419
1400	600	2.2068	2.9439	4.0938	5.7255	7.6689	3.5077
1600	100	1.0833	1.4566	2.0391	2.8925	3.9392	1.8529
1600	200	1.0833	1.4566	2.0391	2.9006	3.9447	1.8805
1600	300	1.6055	2.1393	3.0	4.2197	5.6944	2.7402
1600	400	2.3669	3.133	4.3281	6.0361	8.0122	4.0062
1600	500	2.0804	2.7753	3.8594	5.3977	7.2051	3.6679
1600	600	1.8647	2.4974	3.4844	4.8594	6.5175	3.3196
1600	700	1.8446	2.4607	3.4219	4.7722	6.3786	3.2468
1600	750	1.8278	2.4383	3.3906	4.7286	6.3203	3.2184
1800	100	0.7498	1.0123	1.4219	2.0283	2.7725	1.1648
1800	200	0.9131	1.2215	1.7188	2.4381	3.3313	1.417
1800	300	1.0912	1.4615	2.0391	2.8762	3.9021	1.6977
1800	400	1.7014	2.2697	3.1562	4.4018	5.8834	2.7349
1800	500	1.7816	2.3674	3.2812	4.5761	6.0742	2.9922
1800	600	1.6467	2.1967	3.0547	4.2601	5.6941	2.9541
1800	700	1.5624	2.0843	2.8984	4.0422	5.4028	2.8299
1800	800	1.5582	2.0787	2.8906	4.0198	5.38	2.7373
