400	100	112.625	151.4434	212.0	300.7293	412.2384	134.6781
400	150	73.0469	98.2239	137.5	193.9523	263.1283	165.1258
600	100	19.1318	25.4935	35.75	50.2851	67.8584	22.4841
600	200	15.7002	20.9443	29.125	41.0826	55.3644	32.9937
800	100	7.3784	9.7936	13.6875	19.198	25.7674	11.7391
800	200	9.6997	12.9908	18.125	25.4219	34.3532	18.0757
800	300	5.8365	7.8169	10.9062	15.297	20.5316	13.0146
1000	100	3.4785	4.6588	6.5	9.1168	12.2366	10.478
1000	200	4.5321	6.0699	8.4688	11.9457	16.0984	13.6248
1000	300	4.2478	5.6891	7.9375	11.1331	15.0443	10.3404
1000	400	3.1106	4.166	5.8125	8.1757	11.0329	6.5587
1200	100	1.6602	2.2324	3.125	4.4205	5.9888	5.6946
1200	200	1.9175	2.5652	3.6094	5.1056	6.9171	7.0136
1200	300	3.236	4.334	6.0469	8.5054	11.4778	8.721
1200	400	2.7343	3.6621	5.1094	7.1664	9.6841	4.7321
1200	500	2.3497	3.1469	4.3906	6.1582	8.3218	3.8712
1400	100	1.3862	1.8545	2.6094	3.7015	5.0244	4.6233
1400	200	1.2327	1.6575	2.3203	3.2729	4.4403	4.444
1400	300	1.8229	2.429	3.4062	4.8047	6.475	6.1084
1400	400	1.9567	2.6206	3.6562	5.1428	6.9401	3.7889
1400	500	1.7309	2.3064	3.2344	4.5365	6.1303	2.4596
1400	600	1.6473	2.195	3.0781	4.3173	5.8341	2.4756
1600	100	1.1824	1.5881	2.2422	3.1806	4.3316	3.7696
1600	200	0.7931	1.0652	1.5039	2.1393	2.9284	2.5549
1600	300	1.03	1.3834	1.9531	2.7706	3.7731	3.8498
1600	400	1.4341	1.9109	2.6797	3.7692	5.0864	5.18
1600	500	1.3881	1.8496	2.5938	3.6483	4.9233	3.8692
1600	600	1.2961	1.727	2.4219	3.4162	4.6038	3.1935
1600	700	1.2668	1.6881	2.3672	3.3296	4.4932	3.3453
1600	750	1.225	1.6407	2.2891	3.2289	4.3513	3.7441
1800	100	1.0632	1.4338	2.0312	2.9138	4.0099	3.601
1800	200	0.5827	0.7858	1.1133	1.5881	2.1848	2.0464
1800	300	0.7251	0.9739	1.375	1.956	2.6774	2.7542
1800	400	1.0625	1.4287	2.0	2.8211	3.8273	4.3892
1800	500	1.1414	1.5209	2.1328	2.9915	4.0424	4.3778
1800	600	1.0661	1.4279	1.9922	2.8101	3.787	3.6962
1800	700	1.041	1.3943	1.9453	2.744	3.6979	3.5358
1800	800	1.0327	1.3831	1.9297	2.7219	3.6682	3.8453
2000	100	1.1859	1.5992	2.2656	3.25	4.4868	3.9817
2000	200	0.4519	0.6094	0.8633	1.2384	1.7096	1.5279
2000	300	0.5013	0.6787	0.9648	1.384	1.9108	1.8012
2000	400	0.688	0.9241	1.3047	1.8611	2.544	2.7031
2000	500	0.8425	1.1271	1.5859	2.2307	3.0306	3.3103
2000	600	0.8654	1.1532	1.6172	2.2811	3.0741	3.229
2000	700	0.8404	1.1255	1.5703	2.215	3.005	3.067
2000	800	0.8299	1.1115	1.5508	2.1875	2.9479	3.0607
2000	900	0.8132	1.0891	1.5195	2.1434	2.8885	3.1532
2200	100	1.4247	1.929	2.7422	3.9445	5.4722	4.7434
2200	200	0.4273	0.5793	0.8164	1.1711	1.6168	1.4232
2200	300	0.4601	0.6204	0.8789	1.2608	1.7406	1.5974
2200	400	0.5193	0.7004	0.9922	1.4233	1.9525	1.9101
2200	500	0.6475	0.8662	1.2188	1.7337	2.3655	2.4729
2200	600	0.689	0.9264	1.2969	1.8293	2.4818	2.5667
2200	700	0.6952	0.9348	1.3086	1.8459	2.4875	2.4985
2200	800	0.6786	0.9125	1.2773	1.8018	2.4281	2.4212
2200	900	0.6786	0.9125	1.2773	1.8018	2.4281	2.4987
2200	1000	0.6773	0.9025	1.2656	1.7852	2.4059	2.5789
2400	100	1.2007	1.644	2.3828	3.5131	5.0149	3.4596
2400	200	0.2647	0.3625	0.5254	0.7746	1.1025	0.7484
2400	300	0.3194	0.4354	0.6289	0.9247	1.3067	0.9525
2400	400	0.4048	0.5504	0.7852	1.1419	1.5944	1.3275
2400	500	0.5255	0.7086	1.0039	1.4321	1.9575	1.839
2400	600	0.6039	0.812	1.1367	1.6125	2.196	2.1188
