400	100	552.2344	750.8243	1071.0	1553.4028	2165.5449
600	100	65.8223	88.7634	125.75	180.8869	249.3656
600	200	221.0195	296.0119	413.0	579.2698	782.7792
800	100	22.835	30.7936	43.625	62.5791	86.3947
800	200	80.2188	107.8677	151.0	213.5968	289.3788
800	300	93.5273	124.7667	173.5	241.9663	323.4131
1000	100	15.3262	20.7521	29.5	42.3171	58.4217
1000	200	25.4443	34.1746	48.25	68.8289	93.7788
1000	300	48.7852	64.7541	90.5	126.5737	170.1158
1000	400	39.6211	52.855	73.5	102.7974	138.1603
1200	100	12.8909	17.4546	24.8125	35.8897	49.9526
1200	200	12.854	17.2644	24.375	34.6739	47.4634
1200	300	30.7715	41.0035	57.5	80.6489	108.2466
1200	400	34.4326	45.9335	63.875	89.0812	119.0664
1200	500	30.5918	40.8098	56.75	78.9184	105.2575
1400	100	10.8777	14.7287	20.9375	30.2013	41.8362
1400	200	7.5371	10.083	14.1875	20.182	27.4467
1400	300	16.2817	21.8682	30.875	43.7973	59.4501
1400	400	24.123	32.1805	44.75	62.5875	83.8309
1400	500	21.8994	29.2141	40.625	56.6564	75.7271
1400	600	20.6865	27.5961	38.375	53.5185	71.533
1600	100	9.2256	12.441	17.625	25.3529	35.1715
1600	200	4.2039	5.6989	8.0312	11.4566	15.7615
1600	300	7.218	9.6946	13.6875	19.5253	26.862
1600	400	14.8418	19.9573	27.9375	39.4076	53.1071
1600	500	16.4895	22.0844	30.8125	43.2173	58.0061
1600	600	15.7676	20.9288	29.25	41.0258	55.0646
1600	700	15.5317	20.7195	28.8125	40.4121	54.241
1800	100	8.3474	11.3343	16.3125	23.725	33.3285
1800	200	3.0212	4.1077	5.8594	8.4752	11.7961
1800	300	4.3838	5.9117	8.375	12.0138	16.4807
1800	400	8.7324	11.682	16.4375	23.2516	31.5011
1800	500	11.74	15.7234	21.9375	30.7693	41.5792
1800	600	11.8403	15.8578	22.125	31.0323	41.6514
1800	700	11.5393	15.4546	21.5625	30.2434	40.5925
1800	800	11.439	15.3202	21.375	29.9804	40.2395
2000	100	9.6907	13.1582	18.9375	27.5429	38.6917
2000	200	2.6951	3.6492	5.1875	7.4827	10.3654
2000	300	3.1652	4.2683	6.0469	8.6982	11.9911
2000	400	5.2834	7.1249	10.0938	14.3988	19.8092
2000	500	7.6699	10.3135	14.4375	20.365	27.4446
2000	600	8.4622	11.276	15.8125	22.1785	29.9702
2000	700	8.3618	11.199	15.625	21.9155	29.6148
2000	800	8.3284	11.0977	15.5625	21.8278	29.2972
2000	900	8.2615	11.0646	15.4375	21.6525	29.1607
2200	100	10.2832	14.0208	20.25	29.6939	42.0238
2200	200	2.2156	2.9961	4.2969	6.2494	8.7524
2200	300	2.272	3.089	4.4062	6.3909	8.9367
2200	400	3.5068	4.7484	6.75	9.7096	13.3854
2200	500	5.6611	7.5733	10.6562	15.1163	20.5862
2200	600	6.6738	8.9741	12.5625	17.7202	23.8804
2200	700	6.9236	9.2728	12.9375	18.1976	24.5571
2200	800	6.8567	9.1366	12.8125	17.9707	24.2842
2200	900	6.8066	9.1527	12.8125	17.9707	24.2022
2200	1000	6.7563	9.0488	12.625	17.758	23.964
2400	100	10.1699	14.0437	20.5	30.6325	44.1319
2400	200	1.7208	2.3763	3.4688	5.1556	7.3884
2400	300	1.6641	2.2881	3.3281	4.9201	7.0124
2400	400	2.4547	3.333	4.7969	6.9957	9.783
2400	500	3.9421	5.3161	7.5312	10.7734	14.8003
2400	600	5.1797	6.9293	9.75	13.7918	18.6851
2400	700	5.5449	7.4561	10.4375	14.7227	19.8409
2400	800	5.6279	7.5677	10.5938	14.9009	20.1084
2400	900	5.6359	7.5099	10.5312	14.855	20.0191
2400	1000	5.6693	7.5544	10.5938	14.9009	20.1084
2400	1100	5.6024	7.5033	10.4688	14.7668	19.9003
2600	100	10.8682	15.1163	22.4375	33.9749	49.6301
2600	200	1.6073	2.2292	3.2656	4.8797	7.0302
2600	300	1.3906	1.9012	2.7812	4.1227	5.9006
2600	400	1.7558	2.404	3.4844	5.1233	7.2608
2600	500	2.6066	3.5587	5.0938	7.3881	10.3311
2600	600	3.6641	4.9411	7.0	10.0134	13.7563
2600	700	4.25	5.6855	8.0	11.3164	15.3822
2600	800	4.3994	5.9158	8.2812	11.7142	15.8703
2600	900	4.4824	5.9965	8.4375	11.9016	16.1465
2600	1000	4.5156	6.072	8.5	12.0237	16.2895
2600	1100	4.5654	6.139	8.5938	12.122	16.4455
2600	1200	4.5156	6.072	8.5	11.9898	16.2661
2800	100	11.229	15.6614	23.5625	36.3358	53.855
2800	200	1.4456	2.0106	2.9844	4.5308	6.6077
2800	300	1.1444	1.5848	2.3438	3.5302	5.146
2800	400	1.3112	1.8185	2.6641	3.9914	5.7412
2800	500	1.8818	2.5765	3.7344	5.5057	7.768
