400	100	94.0664	124.8574	174.5	244.752	329.6217	128.6371
400	150	59.6699	79.916	111.5	156.3888	211.3315	73.9125
600	100	15.7002	20.9443	29.125	40.6183	54.2905	23.9451
600	200	14.3525	19.1465	26.625	37.1317	49.6304	15.3021
800	100	5.7444	7.6631	10.6562	14.8614	19.8638	10.6119
800	200	8.5518	11.3636	15.75	21.9652	29.1563	8.8539
800	300	5.2559	7.0114	9.75	13.5587	18.0839	5.9252
1000	100	3.0743	4.1012	5.7031	7.9764	10.6472	5.8423
1000	200	3.824	5.1012	7.0938	9.8648	13.2029	7.1091
1000	300	3.925	5.2361	7.2812	10.1546	13.5726	6.4353
1000	400	2.8217	3.7641	5.2344	7.3	9.7908	4.3518
1200	100	1.8446	2.4607	3.4219	4.7722	6.3786	4.7462
1200	200	1.824	2.4238	3.3594	4.685	6.2404	4.5038
1200	300	3.0322	4.045	5.625	7.8223	10.433	6.0452
1200	400	2.4763	3.3034	4.5938	6.4065	8.563	4.0558
1200	500	2.0973	2.8118	3.8906	5.4259	7.2523	3.2265
1400	100	1.2424	1.6573	2.3047	3.2325	4.3092	4.5355
1400	200	1.2003	1.6012	2.2266	3.0963	4.1154	4.0953
1400	300	1.8615	2.4832	3.4531	4.7883	6.3725	5.121
1400	400	1.853	2.472	3.4375	4.794	6.4077	3.477
1400	500	1.5709	2.0955	2.9141	4.064	5.432	2.3786
1400	600	1.5161	2.0225	2.8125	3.9224	5.2426	2.3715
1600	100	0.7296	0.9771	1.3633	1.9176	2.5877	2.3569
1600	200	0.7442	0.9967	1.3906	1.9616	2.6435	2.5494
1600	300	1.0781	1.4382	2.0	2.8052	3.7651	3.7683
1600	400	1.5229	2.0236	2.8047	3.9115	5.192	4.3441
1600	500	1.3856	1.8484	2.5703	3.5846	4.7912	3.0007
1600	600	1.2592	1.6798	2.3359	3.2577	4.3543	2.3925
1600	700	1.2339	1.6461	2.2891	3.1924	4.2669	2.4419
1600	750	1.2255	1.6349	2.2734	3.1706	4.2378	2.3906
1800	100	0.4897	0.6552	0.9219	1.3004	1.7642	0.7104
1800	200	0.5956	0.8009	1.1211	1.5769	2.128	0.948
1800	300	0.737	0.9832	1.3672	1.9176	2.5738	1.3589
1800	400	1.1496	1.5275	2.1172	2.9527	3.9465	2.6388
