400	100	188.4023	251.3311	349.5	490.2053	662.4246	400.8517
400	150	165.2227	220.4091	306.5	427.4505	573.3031	289.9509
600	100	19.0693	25.4387	35.375	49.4756	66.4955	46.0545
600	200	89.9609	119.0778	164.5	228.1033	303.5733	151.157
800	100	6.2498	8.3373	11.5938	16.1689	21.6114	13.438
800	200	20.9043	27.7776	38.5	53.5393	71.16	42.73
800	300	55.0977	72.9306	100.75	139.303	184.9843	85.3213
1000	100	3.2596	4.3484	6.0469	8.4331	11.2717	5.325
1000	200	4.4641	5.9552	8.2812	11.5492	15.4899	7.3961
1000	300	17.7822	23.629	32.75	45.4127	60.8611	28.391
1000	400	30.4883	40.3561	55.75	77.3055	102.5225	44.429
1200	100	2.0131	2.6854	3.7344	5.1931	6.9504	3.1818
1200	200	1.9937	2.6492	3.6719	5.1209	6.8446	3.076
1200	300	5.6333	7.4855	10.375	14.4692	19.2061	8.3428
1200	400	12.9634	17.2257	23.875	33.2013	44.1284	18.6913
1200	500	15.4067	20.4725	28.375	39.233	51.9148	21.6166
1400	100	1.3744	1.8263	2.5312	3.5301	4.7184	2.9884
1400	200	1.3192	1.753	2.4297	3.3691	4.4838	2.6037
1400	300	2.4094	3.2016	4.4375	6.1532	8.1891	3.882
1400	400	5.5824	7.4179	10.2812	14.2565	18.8405	8.4582
1400	500	9.126	12.0797	16.6875	23.1397	30.58	13.4058
1400	600	8.1006	10.7224	14.8125	20.5397	27.144	12.0667
1600	100	0.7812	1.0422	1.4492	2.0327	2.7282	1.6651
1600	200	0.7981	1.0646	1.4805	2.0765	2.806	1.8019
1600	300	1.2003	1.6012	2.2266	3.123	4.1774	2.6157
1600	400	2.7429	3.6307	5.0156	6.9549	9.256	5.0716
1600	500	4.7681	6.3422	8.7188	12.0898	16.0335	7.9913
1600	600	5.896	7.8043	10.7812	14.9068	19.7253	9.3322
1600	700	5.1953	6.8768	9.5	13.0974	17.3535	7.7603
1600	750	4.3579	5.7966	7.9688	11.0181	14.5796	6.5305
1800	100	0.5247	0.7027	0.9805	1.383	1.8763	0.5993
1800	200	0.6418	0.8552	1.1992	1.682	2.2729	0.7726
1800	300	0.7875	1.0506	1.4609	2.0433	2.7462	1.0636
1800	400	1.4635	1.9447	2.6953	3.7589	5.0242	2.4728
1800	500	2.5282	3.3595	4.6562	6.4751	8.6062	4.1977
1800	600	3.682	4.8926	6.7812	9.3762	12.4509	5.905
1800	700	3.9196	5.2083	7.2188	9.9523	13.2801	6.073
1800	800	3.3752	4.4677	6.1719	8.509	11.2741	4.9943
2000	100	0.3953	0.5316	0.7441	1.0497	1.424	0.4083
