500	100	14.5500000
500	200	4.2620000
750	100	3.6520000
750	200	2.5030000
750	300	0.9201000
1000	100	1.2090000
1000	200	0.9949000
1000	300	0.6696000
1000	400	0.2879000
1500	100	0.2092000
1500	200	0.1916000
1500	300	0.1649000
1500	400	0.1299000
1500	500	0.0894900
1500	600	0.0471000
1500	700	0.0108600
2000	100	0.0497600
2000	200	0.0469600
2000	300	0.0430000
2000	400	0.0381200
2000	500	0.0321400
2000	600	0.0254000
2000	700	0.0180900
2000	800	0.0107900
2000	900	0.0042160
2500	100	0.0138500
2500	200	0.0132200
2500	300	0.0124600
2500	400	0.0114400
2500	500	0.0103300
2500	600	0.0090020
2500	700	0.0075630
2500	800	0.0060430
2500	900	0.0044480
2500	1000	0.0028810
2500	1100	0.0014400
2500	1200	0.0003358
3000	100	0.0042800
3000	200	0.0040610
3000	300	0.0038290
3000	400	0.0035880
3000	500	0.0033330
3000	600	0.0030400
3000	700	0.0027110
3000	800	0.0023620
3000	900	0.0019940
3000	1000	0.0016080
3000	1100	0.0012190
3000	1200	0.0008341
3000	1300	0.0004795
3000	1400	0.0001837
4000	100	0.0005023
4000	200	0.0004540
4000	300	0.0004212
4000	400	0.0003897
4000	500	0.0003619
4000	600	0.0003393
4000	700	0.0003130
4000	800	0.0002890
4000	900	0.0002640
4000	1000	0.0002369
4000	1100	0.0002114
4000	1200	0.0001836
4000	1300	0.0001560
4000	1400	0.0001285
4000	1500	0.0001011
4000	1600	0.0000748
4000	1700	0.0000503
4000	1800	0.0000284
4000	1900	0.0000108
